Brand,Name,Rating,Price,Link,ID
Benefit Cosmetics,The POREfessional Pore Minimizing Primer,"4.4 out of 5 stars ; 5197 reviews(5,197)",$34.00 - $56.00 ,https://www.ulta.com/p/porefessional-pore-minimizing-primer-xlsImpprod2290003?sku=2219868&dcEvent=true,2219868
Too Faced,Lip Injection Maximum Plump Extra Strength Lip Plumper,"3.9 out of 5 stars ; 1511 reviews(1,511)",$33.00 ,https://www.ulta.com/p/lip-injection-maximum-plump-extra-strength-lip-plumper-pimprod2027552?sku=2568801&dcEvent=true,2568801
Grande Cosmetics,GrandeLASH-MD Lash Enhancing Serum,"4.4 out of 5 stars ; 4342 reviews(4,342)",$68.00 ,https://www.ulta.com/p/grandelash-md-lash-enhancing-serum-pimprod2003445?sku=2544503&dcEvent=true,2544503
Dior,Addict Lip Glow Lip Balm,"4.6 out of 5 stars ; 3196 reviews(3,196)",$40.00 ,https://www.ulta.com/p/addict-lip-glow-lip-balm-pimprod2036808?sku=2604369&dcEvent=true,2604369
Laura Mercier,Translucent Loose Setting Powder,"4.7 out of 5 stars ; 36183 reviews(36,183)",$43.00 ,https://www.ulta.com/p/translucent-loose-setting-powder-pimprod2012342?sku=2559917&dcEvent=true,2559917
bareMinerals,COMPLEXION RESCUE Tinted Moisturizer Broad Spectrum SPF 30,"4.4 out of 5 stars ; 8362 reviews(8,362)",$37.00 ,https://www.ulta.com/p/complexion-rescue-tinted-moisturizer-broad-spectrum-spf-30-xlsImpprod11771035?sku=2302652&dcEvent=true,2302652
BOBBI BROWN,Mini Vitamin Enriched Face Base,"4.7 out of 5 stars ; 2418 reviews(2,418)",$24.00 ,https://www.ulta.com/p/mini-vitamin-enriched-face-base-pimprod2025025?sku=2583729&dcEvent=true,2583729
FENTY BEAUTY by Rihanna,Gloss Bomb Universal Lip Luminizer,"4.8 out of 5 stars ; 8020 reviews(8,020)",$21.00 ,https://www.ulta.com/p/gloss-bomb-universal-lip-luminizer-pimprod2031402?sku=2592395&dcEvent=true,2592395
L'Oréal,True Match Lumi Glotion Natural Glow Enhancer,"4.5 out of 5 stars ; 1178 reviews(1,178)",$15.99 ,https://www.ulta.com/p/true-match-lumi-glotion-natural-glow-enhancer-xlsImpprod17161513?sku=2520144&dcEvent=true,2520144
Benefit Cosmetics,They're Real! Lengthening Mascara,"4.3 out of 5 stars ; 14487 reviews(14,487)",$28.00 ,https://www.ulta.com/p/theyre-real-lengthening-mascara-xlsImpprod3460265?sku=2231443&dcEvent=true,2231443
MAC,Studio Fix Powder Plus Foundation,"4.5 out of 5 stars ; 1662 reviews(1,662)",$39.00 ,https://www.ulta.com/p/studio-fix-powder-plus-foundation-xlsImpprod15921242?sku=2588373&dcEvent=true,2588373
Estée Lauder,Futurist Hydra Rescue Moisturizing Foundation SPF 45,"4.4 out of 5 stars ; 4904 reviews(4,904)",$50.00 ,https://www.ulta.com/p/futurist-hydra-rescue-moisturizing-foundation-spf-45-pimprod2013152?sku=2559119&dcEvent=true,2559119
Too Faced,Better Than Sex Volumizing & Lengthening Mascara,"4.2 out of 5 stars ; 22362 reviews(22,362)",$28.00 ,https://www.ulta.com/p/better-than-sex-volumizing-lengthening-mascara-xlsImpprod5530007?sku=2263444&dcEvent=true,2263444
NARS,Light Reflecting Advanced Skincare Foundation,4.3 out of 5 stars ; 862 reviews(862),$50.00 ,https://www.ulta.com/p/light-reflecting-advanced-skincare-foundation-pimprod2030141?sku=2591117&dcEvent=true,2591117
CHANEL,LE ROUGE DUO ULTRA TENUE Ultrawear Liquid Lip Colour,4.7 out of 5 stars ; 68 reviews(68),$45.00 ,https://www.ulta.com/p/le-rouge-duo-ultra-tenue-ultrawear-liquid-lip-colour-pimprod2029989?sku=2532588&dcEvent=true,2532588
NYX Professional Makeup,Micro Brow Pencil Vegan Eyebrow Pencil,"4.4 out of 5 stars ; 5814 reviews(5,814)",$11.00 ,https://www.ulta.com/p/micro-brow-pencil-vegan-eyebrow-pencil-xlsImpprod12011193?sku=2284049&dcEvent=true,2284049
Essence,Lash Princess False Lash Effect Mascara,"4.3 out of 5 stars ; 6170 reviews(6,170)",$4.99 ,https://www.ulta.com/p/lash-princess-false-lash-effect-mascara-xlsImpprod12741009?sku=2289595&dcEvent=true,2289595
Maybelline,Super Stay Up to 24HR Hybrid Powder-Foundation,4.1 out of 5 stars ; 385 reviews(385),$14.99 ,https://www.ulta.com/p/super-stay-up-24hr-hybrid-powder-foundation-pimprod2036593?sku=2603931&dcEvent=true,2603931
IT Cosmetics,Bye Bye Foundation Full Coverage Moisturizer with SPF 50+,"4.2 out of 5 stars ; 4518 reviews(4,518)",$44.00 ,https://www.ulta.com/p/bye-bye-foundation-full-coverage-moisturizer-with-spf-50-xlsImpprod17611001?sku=2523634&dcEvent=true,2523634
NYX Professional Makeup,Butter Gloss Non-Sticky Lip Gloss,"4.6 out of 5 stars ; 5834 reviews(5,834)",$5.00 ,https://www.ulta.com/p/butter-gloss-non-sticky-lip-gloss-xlsImpprod5050009?sku=2596593&dcEvent=true,2596593
IT Cosmetics,Mini CC+ Cream with SPF 50+,"4.3 out of 5 stars ; 26420 reviews(26,420)",$17.00 ,https://www.ulta.com/p/mini-cc-cream-with-spf-50-pimprod2013015?sku=2278481&dcEvent=true,2278481
MAC,Studio Fix Fluid SPF 15 Foundation,"4.1 out of 5 stars ; 2372 reviews(2,372)",$39.00 ,https://www.ulta.com/p/studio-fix-fluid-spf-15-foundation-xlsImpprod15921238?sku=2588984&dcEvent=true,2588984
bareMinerals,BAREPRO 16-HR Skin-Perfecting Powder Foundation,"4.1 out of 5 stars ; 1013 reviews(1,013)",$38.00 ,https://www.ulta.com/p/barepro-16-hr-skin-perfecting-powder-foundation-pimprod2030155?sku=2589517&dcEvent=true,2589517
Benefit Cosmetics,Gimme Brow+ Tinted Volumizing Eyebrow Gel Mini,"4.7 out of 5 stars ; 16418 reviews(16,418)",$15.00 ,https://www.ulta.com/p/gimme-brow-tinted-volumizing-eyebrow-gel-mini-pimprod2002613?sku=2536843&dcEvent=true,2536843
MAC,Mini MAC Lipstick,"4.5 out of 5 stars ; 2519 reviews(2,519)",$13.00 - $15.00 ,https://www.ulta.com/p/mini-mac-lipstick-xlsImpprod15921172?sku=2569582&dcEvent=true,2569582
Too Faced,Travel Size Better Than Sex Volumizing Mascara,"4.2 out of 5 stars ; 22362 reviews(22,362)",$16.00 ,https://www.ulta.com/p/travel-size-better-than-sex-volumizing-mascara-pimprod2025145?sku=2263467&dcEvent=true,2263467
Dermablend,Loose Setting Powder,"4.4 out of 5 stars ; 1162 reviews(1,162)",$32.00 ,https://www.ulta.com/p/loose-setting-powder-90?sku=1271017&dcEvent=true,1271017
NUDESTIX,NUDIES MATTE All Over Face Bronze Color,"4.5 out of 5 stars ; 1641 reviews(1,641)",$35.00 ,https://www.ulta.com/p/nudies-matte-all-over-face-bronze-color-pimprod2036361?sku=2560756&dcEvent=true,2560756
Anastasia Beverly Hills,Clear Brow Gel Lightweight Setter,"4.6 out of 5 stars ; 5372 reviews(5,372)",$22.00 ,https://www.ulta.com/p/clear-brow-gel-lightweight-setter-prod2143893?sku=2143893&dcEvent=true,2143893
Too Faced,Mini Lip Injection Maximum Plump Extra Strength Lip Plumper,"3.9 out of 5 stars ; 1511 reviews(1,511)",$18.00 ,https://www.ulta.com/p/mini-lip-injection-maximum-plump-extra-strength-lip-plumper-pimprod2016849?sku=2580296&dcEvent=true,2580296
Benefit Cosmetics,Gimme Brow+ Tinted Volumizing Eyebrow Gel,"4.7 out of 5 stars ; 16418 reviews(16,418)",$26.00 ,https://www.ulta.com/p/gimme-brow-tinted-volumizing-eyebrow-gel-xlsImpprod14191015?sku=2529256&dcEvent=true,2529256
Urban Decay Cosmetics,Vice Hydrating Lipstick,"4.7 out of 5 stars ; 3709 reviews(3,709)",$21.00 ,https://www.ulta.com/p/vice-hydrating-lipstick-pimprod2026577?sku=2584543&dcEvent=true,2584543
Morphe,Continuous Setting Mist,"4.4 out of 5 stars ; 2171 reviews(2,171)",$17.00 - $23.00 ,https://www.ulta.com/p/continuous-setting-mist-xlsImpprod18351117?sku=2528888&dcEvent=true,2528888
NYX Professional Makeup,Slim Lip Pencil Creamy Long-Lasting Lip Liner,"4.4 out of 5 stars ; 4359 reviews(4,359)",$5.00 ,https://www.ulta.com/p/slim-lip-pencil-creamy-long-lasting-lip-liner-xlsImpprod2150078?sku=2139547&dcEvent=true,2139547
FENTY BEAUTY by Rihanna,Invisimatte Instant Setting + Blotting Powder,4.7 out of 5 stars ; 336 reviews(336),$36.00 ,https://www.ulta.com/p/invisimatte-instant-setting-blotting-powder-pimprod2034002?sku=2599894&dcEvent=true,2599894
NYX Professional Makeup,Fat Oil Lip Drip Vegan Lip Oil,4.5 out of 5 stars ; 461 reviews(461),$9.00 ,https://www.ulta.com/p/fat-oil-lip-drip-vegan-lip-oil-pimprod2037823?sku=2605337&dcEvent=true,2605337
Benefit Cosmetics,BADgal BANG! Volumizing Mascara Mini,"4 out of 5 stars ; 5216 reviews(5,216)",$15.00 ,https://www.ulta.com/p/badgal-bang-volumizing-mascara-mini-xlsImpprod17501073?sku=2522238&dcEvent=true,2522238
Lancôme,Cils Booster XL Vitamin-Infused Lash Thickening Mascara Primer,"4.7 out of 5 stars ; 3293 reviews(3,293)",$30.00 ,https://www.ulta.com/p/cils-booster-xl-vitamin-infused-lash-thickening-mascara-primer-xlsImpprod10991307?sku=2278968&dcEvent=true,2278968
Supergoop!,Unseen Sunscreen SPF 40,"4.6 out of 5 stars ; 3515 reviews(3,515)",$38.00 ,https://www.ulta.com/p/unseen-sunscreen-spf-40-pimprod2029930?sku=2589386&dcEvent=true,2589386
Too Faced,Travel Size Better Than Sex Waterproof Volumizing Mascara,"3.6 out of 5 stars ; 5159 reviews(5,159)",$16.00 ,https://www.ulta.com/p/travel-size-better-than-sex-waterproof-volumizing-mascara-xlsImpprod14521327?sku=2307397&dcEvent=true,2307397
Tarte,Shape Tape Ultra Creamy Concealer,"4.3 out of 5 stars ; 1339 reviews(1,339)",$31.00 ,https://www.ulta.com/p/shape-tape-ultra-creamy-concealer-pimprod2020889?sku=2575027&dcEvent=true,2575027
FENTY BEAUTY by Rihanna,Icon Velvet Liquid Lipstick,3.9 out of 5 stars ; 60 reviews(60),$29.00 ,https://www.ulta.com/p/icon-velvet-liquid-lipstick-pimprod2038220?sku=2606946&dcEvent=true,2606946
Urban Decay Cosmetics,Travel Size All Nighter Long-Lasting Makeup Setting Spray,"4.7 out of 5 stars ; 23131 reviews(23,131)",$16.00 ,https://www.ulta.com/p/travel-size-all-nighter-long-lasting-makeup-setting-spray-pimprod2031199?sku=2503491&dcEvent=true,2503491
NARS,Natural Radiant Longwear Foundation,"3.8 out of 5 stars ; 1121 reviews(1,121)",$50.00 ,https://www.ulta.com/p/natural-radiant-longwear-foundation-xlsImpprod17421227?sku=2523154&dcEvent=true,2523154
Tarte,Maracuja Juicy Lip Plumping Gloss,3.8 out of 5 stars ; 413 reviews(413),$24.00 ,https://www.ulta.com/p/maracuja-juicy-lip-plumping-gloss-pimprod2032003?sku=2594033&dcEvent=true,2594033
Clinique,Even Better Makeup Broad Spectrum SPF 15 Foundation,"4.5 out of 5 stars ; 3732 reviews(3,732)",$34.00 ,https://www.ulta.com/p/even-better-makeup-broad-spectrum-spf-15-foundation-xlsImpprod10791919?sku=2206255&dcEvent=true,2206255
IT Cosmetics,CC+ Nude Glow Lightweight Foundation + Glow Serum with SPF 40,"4.4 out of 5 stars ; 3093 reviews(3,093)",$44.00 ,https://www.ulta.com/p/cc-nude-glow-lightweight-foundation-glow-serum-with-spf-40-pimprod2031824?sku=2594115&dcEvent=true,2594115
Grande Cosmetics,GrandeLASH-MD Lash Enhancing Serum (6 Month Supply),"4.4 out of 5 stars ; 4342 reviews(4,342)",$125.00 ,https://www.ulta.com/p/grandelash-md-lash-enhancing-serum-6-month-supply-pimprod2028215?sku=2587633&dcEvent=true,2587633
FENTY BEAUTY by Rihanna,Gloss Bomb Heat Universal Lip Luminizer + Plumper,4.3 out of 5 stars ; 243 reviews(243),$26.00 ,https://www.ulta.com/p/gloss-bomb-heat-universal-lip-luminizer-plumper-pimprod2031401?sku=2592391&dcEvent=true,2592391
ULTA Beauty Collection,Juice Infused Lip Oil,"4.4 out of 5 stars ; 2904 reviews(2,904)",$10.00 ,https://www.ulta.com/p/juice-infused-lip-oil-xlsImpprod15531013?sku=2501579&dcEvent=true,2501579
IT Cosmetics,Travel Size Bye Bye Under Eye Full Coverage Anti-Aging Waterproof Concealer,"4.4 out of 5 stars ; 1123 reviews(1,123)",$13.00 ,https://www.ulta.com/p/travel-size-bye-bye-under-eye-full-coverage-anti-aging-waterproof-concealer-xlsImpprod12871043?sku=2550194&dcEvent=true,2550194
MAC,Lip Pencil,4.5 out of 5 stars ; 686 reviews(686),$22.00 ,https://www.ulta.com/p/lip-pencil-xlsImpprod15921160?sku=2510566&dcEvent=true,2510566
bareMinerals,Matte Foundation Broad Spectrum SPF 15,"4.5 out of 5 stars ; 7572 reviews(7,572)",$38.00 ,https://www.ulta.com/p/matte-foundation-broad-spectrum-spf-15-xlsImpprod1480002?sku=2209441&dcEvent=true,2209441
FENTY BEAUTY by Rihanna,Eaze Drop Blurring Skin Tint,4.4 out of 5 stars ; 849 reviews(849),$35.00 ,https://www.ulta.com/p/eaze-drop-blurring-skin-tint-pimprod2031372?sku=2592627&dcEvent=true,2592627
Too Faced,Lip Injection Extreme Lip Plumper,"3.5 out of 5 stars ; 3105 reviews(3,105)",$29.00 ,https://www.ulta.com/p/lip-injection-extreme-lip-plumper-xlsImpprod4980051?sku=2557712&dcEvent=true,2557712
L'Oréal,Telescopic Lift Washable Mascara,"4.4 out of 5 stars ; 1771 reviews(1,771)",$14.99 ,https://www.ulta.com/p/telescopic-lift-washable-mascara-pimprod2036227?sku=2603552&dcEvent=true,2603552
FENTY BEAUTY by Rihanna,Diamond Bomb All-Over Diamond Veil,"4.7 out of 5 stars ; 2244 reviews(2,244)",$42.00 ,https://www.ulta.com/p/diamond-bomb-all-over-diamond-veil-pimprod2031379?sku=2592270&dcEvent=true,2592270
IT Cosmetics,CC+ Cream Illumination SPF 50+,"4.3 out of 5 stars ; 6297 reviews(6,297)",$44.00 ,https://www.ulta.com/p/cc-cream-illumination-spf-50-xlsImpprod12251079?sku=2533845&dcEvent=true,2533845
Kinship,Brightwave Vitamin C Energizing + Brightening Eye Cream,4.5 out of 5 stars ; 233 reviews(233),$35.00 ,https://www.ulta.com/p/brightwave-vitamin-c-energizing-brightening-eye-cream-pimprod2027047?sku=2585708&dcEvent=true,2585708
Buxom,Full-On Plumping Lip Polish,"4.7 out of 5 stars ; 5795 reviews(5,795)",$25.00 ,https://www.ulta.com/p/full-on-plumping-lip-polish-xlsImpprod13631035?sku=2299145&dcEvent=true,2299145
bareMinerals,BAREPRO Performance Wear Liquid Foundation Broad Spectrum SPF 20,"4.2 out of 5 stars ; 4414 reviews(4,414)",$39.00 ,https://www.ulta.com/p/barepro-performance-wear-liquid-foundation-broad-spectrum-spf-20-xlsImpprod16321440?sku=2549247&dcEvent=true,2549247
Urban Decay Cosmetics,24/7 Moondust Eyeshadow,4.7 out of 5 stars ; 760 reviews(760),$24.00 ,https://www.ulta.com/p/247-moondust-eyeshadow-pimprod2022731?sku=2576887&dcEvent=true,2576887
Lancôme,Monsieur Big Volumizing Mascara,"4.5 out of 5 stars ; 7305 reviews(7,305)",$30.00 ,https://www.ulta.com/p/monsieur-big-volumizing-mascara-xlsImpprod15891587?sku=2512282&dcEvent=true,2512282
